Currency,Price,Year,Brand_Model,Fuel,Condition,Type,Fecha
US,"65,900",2020,Mercedes-Benz Clase C 300 Luxury, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,230,000",2020,Honda Civic EXL, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"26,500",2020,Toyota Corolla SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"48,500",2020,Volvo S60 Inscription T5, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"35,500",2020,Honda Accord Touring, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,500",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"22,050",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"44,900",2020,Hyundai Sonata, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"28,000",2020,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"22,900",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,000",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,000",2020,Hyundai Sonata, GLP , GLP ,carros/sedan,2022-08-20
US,"23,500",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"29,800",2020,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"28,500",2020,Toyota Camry SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"29,400",2020,Honda Accord, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,000",2020,Honda Civic EX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"27,500",2020,Honda Accord LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"175,000",2020,Porsche Panamera GTS, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"27,500",2020,Toyota Corolla SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"66,900",2020,Tesla Model 3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
RD,"1,350,000",2020,Honda Civic Ex Turbo, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,500",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"29,900",2020,Honda Civic LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"26,500",2020,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,400",2020,Toyota Corolla SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"30,850",2020,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,150,000",2020,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
US,"30,900",2020,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"42,900",2020,BMW Serie 3 320 Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"22,500",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"50,000",2020,Toyota Avalon TRD, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"51,500",2020,BMW Serie 3 330i, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"37,000",2020,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"26,339",2020,Kia K-5, GLP , GLP ,carros/sedan,2022-08-20
RD,"1,248,000",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"28,500",2020,Toyota Camry LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"1,226,000",2020,Honda Civic LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"59,900",2020,Toyota Avalon TRD, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,995",2020,Toyota Corolla LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"52,000",2020,Toyota Camry XSE Special Edition, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"925,000",2019,Hyundai Sonata New Rise, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"920,000",2019,Nissan Sentra, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"850,000",2019,Kia K-5, GLP , GLP ,carros/sedan,2022-08-20
RD,"885,000",2019,Kia K-5, GLP , GLP ,carros/sedan,2022-08-20
RD,"870,000",2019,Kia K-5, GLP , GLP ,carros/sedan,2022-08-20
RD,"850,000",2019,Kia K-5, GLP , GLP ,carros/sedan,2022-08-20
RD,"850,000",2019,Kia K-5, GLP , GLP ,carros/sedan,2022-08-20
RD,"830,000",2019,Hyundai Sonata LF, GLP , GLP ,carros/sedan,2022-08-20
RD,"830,000",2019,Hyundai Sonata LF, GLP , GLP ,carros/sedan,2022-08-20
RD,"830,000",2019,Hyundai Sonata LF, GLP , GLP ,carros/sedan,2022-08-20
RD,"830,000",2019,Hyundai Sonata LF, GLP , GLP ,carros/sedan,2022-08-20
RD,"830,000",2019,Hyundai Sonata LF, GLP , GLP ,carros/sedan,2022-08-20
US,"19,900",2019,Honda Civic EX, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"985,000",2019,Honda Civic, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"850,000",2019,Kia Rio, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"810,000",2019,Kia K-5, GLP , GLP ,carros/sedan,2022-08-20
US,"30,500",2019,Honda Accord EXL, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"29,200",2019,Toyota Camry SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,900",2019,Honda Civic, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"65,000",2019,Tesla Model 3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"29,500",2019,Audi A3, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"940,000",2019,Nissan Sentra SV, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"930,000",2019,Hyundai Elantra SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"42,000",2019,Mercedes-Benz Clase C 180, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"28,900",2019,Toyota Camry LE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"72,900",2019,Mercedes-Benz Clase C 43 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"955,000",2019,Kia Rio LX, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,900",2019,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"22,000",2019,Honda Civic Ex Turbo, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"28,900",2019,Audi A3, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"24,900",2019,Toyota Camry SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"845,000",2019,Nissan Sentra, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"935,000",2019,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
US,"65,000",2019,Tesla Model 3, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
US,"45,500",2019,Mercedes-Benz Clase C 300 4 Matic, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"770,000",2019,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
US,"21,900",2019,Honda Civic EXL-T, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"72,900",2019,Mercedes-Benz Clase C 43 AMG, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"215,500",2019,Mercedes-Benz Clase GT 63 S AMG 4MATIC, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"645,000",2019,Mitsubishi Mirage, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"890,000",2019,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
RD,"890,000",2019,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
RD,"890,000",2019,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
RD,"890,000",2019,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
RD,"890,000",2019,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
US,"54,500",2019,Mercedes-Benz Clase C 300, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"890,000",2019,Hyundai Sonata New Rise, GLP , GLP ,carros/sedan,2022-08-20
US,"32,990",2019,Hyundai Ioniq, Eléctrico , Eléctrico ,carros/sedan,2022-08-20
RD,"819,000",2019,Nissan Sentra S, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,900",2019,Honda Civic Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"30,500",2019,Toyota Camry SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"23,800",2019,Honda Civic Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"895,000",2019,Hyundai Sonata LF, GLP , GLP ,carros/sedan,2022-08-20
US,"24,000",2019,Honda Civic Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
RD,"940,000",2019,Nissan Sentra SV, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"25,300",2019,Honda Accord Sport, Gasolina , Gasolina ,carros/sedan,2022-08-20
US,"27,500",2019,Toyota Camry SE, Gasolina , Gasolina ,carros/sedan,2022-08-20
